,Disaster Reports,Headlines,City,State,Disaster Type,Photo Date,Report Date
0,View Full SizeReport this Image,1615 hwy 9,Longs,SC,Floods,"Sat, 09/22/2018 - 13:54","Mon, 09/24/2018 - 16:05"
1,View Full SizeReport this Image,Southport bc,,,Hurricanes,"Wed, 09/19/2018 - 16:19","Mon, 09/24/2018 - 14:38"
2,View Full SizeReport this Image,Kathy Tripp's crushed barn,Newport,NC,Hurricanes,"Sat, 09/15/2018 - 05:14","Mon, 09/24/2018 - 12:17"
3,View Full SizeReport this Image,Conway sc,,,Hurricanes,"Sat, 09/15/2018 - 10:34","Sun, 09/23/2018 - 08:40"
4,View Full SizeReport this Image,My yard,,,Hurricanes,"Thu, 09/20/2018 - 04:53","Sat, 09/22/2018 - 17:38"
5,View Full SizeReport this Image,CAP PHOTO HMW 8’,,,Hurricanes,"Sat, 09/22/2018 - 16:32","Sat, 09/22/2018 - 16:47"
6,View Full SizeReport this Image,"Target 14, Odell ventures landing, Johnsonville, S",,,Floods,"Sat, 09/22/2018 - 15:43","Sat, 09/22/2018 - 15:44"
7,View Full SizeReport this Image,Our house,,,Floods,"Mon, 09/17/2018 - 05:47","Sat, 09/22/2018 - 15:41"
8,View Full SizeReport this Image,Drive way,,,Floods,"Thu, 09/20/2018 - 09:00","Sat, 09/22/2018 - 15:39"
9,View Full SizeReport this Image,Shelter,Lumberton,NC,Hurricanes,"Sun, 09/16/2018 - 15:51","Tue, 09/18/2018 - 19:41"
10,View Full SizeReport this Image,Neighbor,Havelock,NC,Hurricanes,"Sat, 09/15/2018 - 11:10","Tue, 09/18/2018 - 19:06"
11,View Full SizeReport this Image,"Flooded for hurricane Florence at rocky Point, NC",Rocky Point,NC,Floods,"Sun, 09/16/2018 - 07:01","Tue, 09/18/2018 - 16:24"
12,View Full SizeReport this Image,Flooded road,Wallace,NC,Hurricanes,"Tue, 09/18/2018 - 15:53","Tue, 09/18/2018 - 16:07"
13,View Full SizeReport this Image,Flooded,Currie,NC,Floods,"Sun, 09/16/2018 - 06:58","Tue, 09/18/2018 - 15:35"
14,View Full SizeReport this Image,My sisters house Mmray road,,,Floods,"Mon, 09/17/2018 - 12:24","Tue, 09/18/2018 - 14:44"
15,View Full SizeReport this Image,Downtown New Bern,,,Hurricanes,"Sun, 09/16/2018 - 15:20","Tue, 09/18/2018 - 14:13"
16,View Full SizeReport this Image,"My hometown, Lumberton, N.C. highway 41 south",,,Hurricanes,"Mon, 09/17/2018 - 05:02","Tue, 09/18/2018 - 14:08"
17,View Full SizeReport this Image,Flooding,,,Hurricanes,"Sat, 09/15/2018 - 09:44","Sat, 09/15/2018 - 19:50"
18,View Full SizeReport this Image,Wind damages,,,Hurricanes,"Sat, 09/15/2018 - 09:40","Sat, 09/15/2018 - 19:44"
19,View Full SizeReport this Image,Tree down,,,Hurricanes,"Sat, 09/15/2018 - 09:42","Sat, 09/15/2018 - 19:41"
20,View Full SizeReport this Image,Flooded roads,,,Hurricanes,"Sat, 09/15/2018 - 09:59","Sat, 09/15/2018 - 19:37"
21,View Full SizeReport this Image,Trees down on Power lines,Wallace,NC,Hurricanes,"Sat, 09/15/2018 - 09:01","Sat, 09/15/2018 - 19:34"
22,View Full SizeReport this Image,Hurricane Florence in Havelock NC,Havelock,NC,Hurricanes,"Fri, 09/14/2018 - 13:43","Sat, 09/15/2018 - 18:54"
23,View Full SizeReport this Image,Green Hanes rd Kinston,Kinston,NC,Hurricanes,"Sat, 09/15/2018 - 10:00","Sat, 09/15/2018 - 17:36"
